itemcode,itemname.x,median,median_se,qt_q25,qt_q75,qt_q25_se,qt_q75_se,itemname.y,per
105,Maize (flour),145.7440235436085,9.751572643252159,87.80415663797064,278.22915157922233,9.812555820009594,26.072216306993134,MAIZE (FLOUR),95.2
901,Fresh milk,143.18069719712653,22.592194043221987,61.63072643460965,361.44612726155344,10.905822615671905,61.45460660969299,FRESH MILK,62
1106,Bottled beer,119.98273327812828,NA,42.04326819810469,333.79940163150667,NA,0,BOTTLED BEER,0.6
804,Chicken and other poultry,85.67517975208672,NA,37.891051789658206,132.68093873163738,NA,0,NA,NA
102,Rice (husked),83.4687454737667,5.209855391827384,50.804278579356755,126.42932882751786,5.64623525375438,7.214432484752553,RICE (HUSKED),68.6
1107,Local brews,75.07658944119632,26.78527120861874,43.17940682839246,152.07297797150218,11.989197964915805,125.24797660528463,LOCAL BREWS,7.1
205,Irish potatoes,66.76155659289445,9.925362993785708,33.283158015250606,116.71640967542514,5.695204941671542,22.493809678586622,IRISH POTATOES,41
202,Cassava dry/flour,63.87426698214625,10.375625201917023,40.02670570996507,78.54052887841428,NA,NA,CASSAVA DRY/FLOUR,5.2
206,"Cooking bananas, plantains",58.45739338644917,6.219230159270618,35.78344911453258,107.51062144381784,2.898248525543875,12.680305906433214,"COOKING BANANAS, PLANTAINS",56.2
107,Millet and sorghum (flour),56.347974394850795,23.992108160091732,26.64068823965644,126.42932882751786,11.42425246427483,94.02057065724301,MILLET AND SORGHUM (FLOUR),9.2
601,"Onions, tomatoes, carrots and green pepper, other viungo",55.86661278061966,15.137125894992515,16.54640495377796,95.02094312366607,12.481409118619148,15.17989158494719,NA,NA
1104,"Bottled/canned soft drinks (soda, juice, water)",52.41945764578702,3.429544259118991,28.25613379757511,67.60939566776113,6.486888368709323,14.69843258410499,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",24.2
204,Yams/cocoyams,50.75515229439402,15.188399449964654,27.423885792509175,73.09369004720999,5.765675460671917,24.65651937476098,YAMS/COCOYAMS,9.9
103,"Maize (green, cob)",50.44079846876101,15.15420506805154,25.11236059251915,88.787967452123,7.1128444016477195,67.8717483694208,"MAIZE (GREEN, COB)",14.2
401,"Peas, beans, lentils and other pulses",50.33138126926375,19.37490030846801,32.31620874176536,73.58535217077761,12.392285299923886,21.62794493000436,NA,NA
203,Sweet potatoes,50.058861058556126,10.427069497913571,36.51175699481549,107.30876853000571,2.4571496416426863,44.67134815195066,SWEET POTATOES,15.6
602,"Spinach, cabbage and other green vegetables",49.55152007070688,19.018791166820314,15.852787484819013,65.24011096061022,4.978188033384082,21.421159811411506,NA,NA
902,"Milk products (like cream, cheese, yoghurt etc)",49.38484354998542,3.0217954275909973,32.72691202410668,81.47592921441735,2.869667136119008,7.620041103041116,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)",34.2
104,Maize (grain),49.216171086797615,8.945168398389866,30.020029282473804,106.66877034089082,3.069805338796733,16.57037402345549,MAIZE (GRAIN),45.5
1081,Wheat flour,48.916430242913414,4.570621022597956,28.71881790728082,74.00525326359431,3.6851439155856345,22.421343045476018,WHEAT FLOUR,21.5
704,Sugarcane,46.677321434123215,13.815891757318727,15.143348955998386,90.66335404167182,5.241915651453513,33.525979337354755,SUGARCANE,13.6
8042,Other poultry,46.14598680597491,NA,21.70580745584136,46.14598680597491,NA,NA,OTHER POULTRY,0.9
4013,"Other beans, lentils, and pulses",45.11956175753704,7.698387984897569,26.640688239656445,79.72643597495862,3.098463044603313,9.25029670426071,"OTHER BEANS, LENTILS, AND PULSES",64.2
109,Bread,44.521847577319456,5.3124107117324995,20.88945012823852,76.25966858979356,3.207272063116954,13.49551852829696,BREAD,33.6
1108,Wine and spirits,41.56743524593582,NA,41.56743524593582,41.56743524593582,NA,NA,WINE AND SPIRITS,0.1
4012,Green beans,40.60888433885656,7.333515919898977,18.575841386024685,68.08483300250677,6.16953484405195,17.847567830473196,GREEN BEANS,17.3
702,"Citrus fruits (oranges, lemon, tangerines, etc.)",40.184126316317894,NA,31.246073883121532,42.961953085565106,NA,NA,NA,NA
7031,Mangoes,40.069662819587506,5.325388062211514,23.39431122617476,74.63688822787826,4.041736598744835,14.456966544543803,MANGOES,21.2
701,Ripe bananas,39.960445489515834,4.514401770133567,21.717250773929724,65.445080891098,2.037729075471125,8.39946788119501,RIPE BANANAS,49.8
201,Cassava fresh,39.602045528930674,5.723231660612775,27.802603491984502,65.83460720898664,3.910117052855501,12.907150175357623,CASSAVA FRESH,14.4
6012,Tomatoes,38.68676792884549,5.737351833179624,20.717321059181835,67.1133422932772,1.8858920303789541,6.403080308518545,TOMATOES,92
8041,Chicken,36.1697897052989,5.9243853285543455,21.465553174004068,51.273042110518666,3.9687670922887888,14.690672800274134,CHICKEN,11.4
7032,Avocado,34.976927755305276,5.049465088995455,16.843005762680047,51.074262286961414,3.2484563739313224,12.164366309077533,AVOCADO,44.4
802,Beef (including minced sausage),34.70137890521983,4.7082452323527075,21.87910125453318,63.17102684764489,1.4450774388981926,8.397908006646878,BEEF (INCLUDING MINCED SAUSAGE),49.4
301,Sugar,34.455132669015356,1.8061931160149733,22.619383443463907,51.26948982308132,1.465956512421335,3.491562886642914,SUGAR,90.5
7022,Orange/tangerine,34.36899483734282,5.068005402296074,20.249440573607224,62.60884815560548,3.2137114699275577,9.623250825052256,ORANGE/TANGERINE,34.5
703,"Mangoes, avocadoes and other fruits",33.8177699560292,50.16294948957935,18.67899117416753,61.35509250625011,NA,NA,NA,NA
106,Millet and sorghum (grain),32.810780724531746,0,20.773305331450477,32.810780724531746,NA,0,MILLET AND SORGHUM (GRAIN),0.7
7033,Other fruits,32.31449636066403,NA,26.500162999359095,77.94291449202726,NA,0,OTHER FRUITS,1.3
6021,Cabbage,31.13604810120387,5.217907112649988,17.411089541220555,48.67389861967194,2.49644667646274,10.921606870826235,CABBAGE,23.5
802,Beef including minced sausage,30.26108192283565,9.957321009997,30.26108192283565,52.268248591251094,9.957321009997,NA,BEEF (INCLUDING MINCED SAUSAGE),49.4
6023,Other green vegetable,29.451485671765422,4.020330940521173,12.62418599772735,60.76999993366311,1.9430071047311914,6.913170709233227,OTHER GREEN VEGETABLE,75.6
803,Pork (including sausages and bacon),28.75763398856612,7.213719947295116,18.75973773952946,57.43763581456164,3.3108196759722652,20.268847751136796,PORK (INCLUDING SAUSAGES AND BACON),7.9
112,Other cereal products,28.567909028785746,NA,28.567909028785746,73.80293824530733,NA,0,OTHER CEREAL PRODUCTS,0.4
11011,Buns,25.85233769408143,2.6050550169553417,14.778983558579695,39.440801623475906,2.7072045046032716,4.648006629847762,BUNS,35.3
6022,Chiness/spinach,24.379269147472677,3.347706564583285,10.158028811446949,38.03514446877513,2.5507660058092614,6.6857243430758295,CHINESS/SPINACH,24
1001,Cooking oil,24.157053451684614,1.8234784864033593,16.12273763203658,37.66872499645009,1.1625142767611238,2.5744105132079684,COOKING OIL,95.5
801,Goat meat,24.146666354979537,6.3031954253564235,13.858182592831648,40.34322697898724,6.322477413088209,18.155978444992382,GOAT MEAT,12.6
7023,Other citrus fruits,23.80629883088432,NA,23.80629883088432,23.80629883088432,NA,NA,OTHER CITRUS FRUITS,0.6
111,"Macaroni, spaghetti",23.290196407733134,3.777386716607426,14.92761580633354,34.359852258437044,2.4558085577413173,NA,"MACARONI, SPAGHETTI",12.7
502,Coconuts (mature/immature),22.35390955236101,5.016562786232511,8.793779990116253,33.32046755654896,2.2276014702113964,7.295972838774121,COCONUTS (MATURE/IMMATURE),13.4
501,Groundnuts in shell/shelled,20.072990756534075,2.5935352092105592,12.799914953612808,27.45413192282959,0.6805600702734713,8.18405396642305,GROUNDNUTS IN SHELL/SHELLED,13.1
6013,"Carrots and green pepper, other viungo",19.256285328503587,2.099148291765261,9.713036833133176,35.56390696188449,1.3991442335661441,3.421202247199746,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",72.3
4011,Peas,19.053865228046362,3.176846657137913,12.99236840507388,26.461596531633855,3.7836423246803785,7.619951416051727,PEAS,6.3
1002,"Butter, margarine, ghee and other fat products",18.582159639085255,NA,3.497878097561327,22.391611275053435,NA,NA,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",2.7
207,Other starches,17.764332212224968,NA,17.764332212224968,17.764332212224968,NA,NA,OTHER STARCHES,0.2
110,"Buns, cakes and biscuits",17.070353905189343,NA,17.070353905189343,57.43763581456164,NA,NA,NA,NA
6011,Onions,15.481313642580604,1.1689810954674722,8.53298054216214,26.013540056969877,0.7878554556539852,2.455551231474994,ONIONS,96
303,"Honey, syrups, jams, marmalade, jellies, canned fruits",15.420879094545642,9.529210983314062,9.633679956232523,21.089313695533207,2.9591374625609,30.762163894165592,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS",6.3
8084,Other fresh fish and seafood,14.771600618554967,2.3583529610452287,10.45551188206363,23.278569734806158,2.643665407223515,NA,OTHER FRESH FISH AND SEAFOOD,7.8
809,Dried/salted/canned fish and seafood (incl. Dagaa),13.115162966963537,2.4998640107548322,8.359363290309235,28.71881790728082,0.8924448127843109,4.313064915728086,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),44.1
8083,Tilapia (fresh),13.084672909685738,NA,13.084672909685738,13.084672909685738,NA,NA,TILAPIA (FRESH),0.09
1004,Other spices,12.151867023872924,4.780021905617171,4.813270390438851,27.05060164767358,1.9469644828996353,29.591760754106673,OTHER SPICES,12.9
803,Pork including sausages and bacon,11.084645392980091,NA,11.084645392980091,11.084645392980091,NA,NA,PORK (INCLUDING SAUSAGES AND BACON),7.9
807,Eggs,10.465888112019384,1.977556547637372,5.003828314010505,19.364748949913878,1.2458843112194633,4.570289937704358,EGGS,24.7
603,"Canned, dried and wild vegetables",10.418252130220784,NA,10.418252130220784,17.480346106664257,NA,NA,"CANNED, DRIED, AND WILD VEGETABLES",2.2
903,Canned milk/milk powder,9.840391766040977,NA,9.840391766040977,9.840391766040977,NA,NA,CANNED MILK/MILK POWDER,0.1
810,Packaged/canned fish,9.491013095722636,NA,9.491013095722636,9.491013095722636,NA,NA,PACKAGED/CANNED FISH,0.05
8081,Dagaa (fresh),9.22919736119498,2.2810697043242945,3.8041681546396213,20.072990756534075,0.7877694828048271,2.32543122695102,DAGAA (FRESH),22
7021,Lemon/lime,8.900099675088168,1.0255562182755629,5.9575972574778095,16.64168718623082,0.5937273598359518,7.617412157286244,LEMON/LIME,28.4
1003,Salt,7.2339579410597805,0.3174915715159749,5.267888701146577,10.43684065791951,0.1587007208532454,0.7236750444506727,SALT,98.9
808,Fresh fish and seafood (including dagaa),7.202742213485976,NA,6.433015211230904,10.406009397887743,NA,NA,NA,NA
1102,Coffee and cocoa,5.564583031584447,8.044208840262389,5.429976224166745,19.08125442933063,NA,NA,COFFEE AND COCOA,2
11021,Cakes and biscuits,2.623392423784953,2.228131842278233,2.4668417754531435,10.338774446621093,0.41550496139558124,NA,CAKES AND BISCUITS,4.7
1101,Tea dry,1.1497771327481559,0.06105366911165673,0.7839652638480964,1.8933708579585122,0.05519645195943645,0.12209429246311632,TEA DRY,62.5
603,"Canned, dried, and wild vegetables",1.009556597066559,NA,1.009556597066559,34.7894688597317,NA,NA,"CANNED, DRIED, AND WILD VEGETABLES",2.2
302,Sweets,0.33253936178940274,0.9249748734996689,0.29148804708721704,2.2975054325824655,NA,NA,SWEETS,4.1
