itemcode,itemname,median,qt25,qt75,n
101,Rice (paddy),220.78247279591935,107.82851056655744,322.61594316911066,45
105,Maize (flour),202.08983490543375,116.94548437966378,315.3275709904727,3360
207,Other starches,138.87088438861628,84.99222583070177,238.1622077353242,48
102,Rice (husked),137.92479965545817,77.31792177117762,222.01657132660023,2948
1082,Barley grain and other cereals,112.95136420202434,25.573921696793775,201.6350811497176,11
1107,Local brews,107.9252538857085,42.21318379628769,185.0534516728319,160
202,Cassava dry/flour,101.13727408686991,52.263457000959605,195.88658768035668,562
203,Sweet potatoes,94.01858337230574,47.979833828846424,185.37562713654327,1106
901,Fresh milk,88.36694417378651,46.08643703113197,172.8797131441813,1024
112,Other cereal products,70.05062952056613,30.704716778312054,128.89015828555728,56
204,Yams/cocoyams,64.47827178612174,40.02082984828125,111.63579951176249,245
206,"Cooking bananas, plantains",61.39948903166726,35.23007159190156,114.9126432599334,1327
704,Sugarcane,60.79341845925446,25.369637306291416,123.4532603615488,576
1106,Bottled beer,59.66344652209885,31.000565203495558,125.42240139500852,61
201,Cassava fresh,56.44036977638158,34.06757725530268,98.33451741833886,1256
7033,Other fruits,52.86501013115263,29.150457648363442,101.1065938091286,233
103,"Maize (green, cob)",50.40093494848317,25.297293191349084,104.2134829037567,471
1104,"Bottled/canned soft drinks (soda, juice, water)",48.34004876176627,30.941702563108812,79.57500118763853,836
902,"Milk products (like cream, cheese, yoghurt etc)",47.902988269344405,26.615608732658863,95.80597653868881,554
1081,Wheat flour,46.977505246834816,30.03518198320263,81.91310661614432,894
8042,Other poultry,46.14598680597491,26.309325094850593,70.36965351640742,15
205,Irish potatoes,45.72967548742167,24.44704819313023,88.08075210352848,1412
104,Maize (grain),45.70776889182091,28.855059946707613,80.25363824375975,511
7031,Mangoes,44.56058741857312,20.707776480509587,90.284676933175,956
107,Millet and sorghum (flour),44.178435345341484,24.225710644419394,93.02231427227244,318
601,"Onions, tomatoes, carrots and green pepper, other viungo",43.37128721175845,21.744078256954072,78.31841156299856,332
703,"Mangoes, avocadoes and other fruits",43.30182918691831,24.1727355006548,84.61601898098749,127
106,Millet and sorghum (grain),42.79654652770914,20.13175466835026,86.19671541451126,32
502,Coconuts (mature/immature),42.64151418952679,23.446212948052967,71.12499524648497,1326
701,Ripe bananas,39.960445489515834,21.343845093238667,69.89903883290101,1223
6012,Tomatoes,39.34306188280679,21.626860264606954,68.48213372466256,3579
803,Pork including sausages and bacon,38.7768729420482,20.803742624267063,45.11956175753703,17
401,"Peas, beans, lentils and other pulses",38.74963149844103,21.277970326668587,73.58612293010981,254
7023,Other citrus fruits,38.72341433435206,16.872964974385546,86.12502826017331,56
109,Bread,38.681065467511395,22.284842321290373,64.99478202704755,1186
4013,"Other beans, lentils, and pulses",36.75131853540171,21.628626034481933,62.66188804257527,1731
1108,Wine and spirits,35.08568894079376,11.450782236997256,61.20884699832182,10
806,Other domestic/wild meat products,34.017244335514334,21.020420320234788,73.31578974851672,4
804,Chicken and other poultry,32.29231473930624,21.252447063069877,46.768894742819796,61
6021,Cabbage,32.22378761406876,18.821173662344957,53.91243714641092,694
7022,Orange/tangerine,32.104867643909834,17.20833103698278,60.82027980534433,795
803,Pork (including sausages and bacon),31.366989171352152,21.31102534815526,57.43763581456164,168
4012,Green beans,30.167592388165158,17.809000612253875,58.58528859694826,868
602,"Spinach, cabbage and other green vegetables",29.92618817611333,16.486574407530032,62.54064805123046,284
802,Beef (including minced sausage),28.969437257945586,19.423192016337374,49.77436071248815,1201
7032,Avocado,28.62882482091824,15.322278686088424,50.54526044492035,732
802,Beef including minced sausage,27.58244189340891,18.5916160130856,44.19127291754495,116
8041,Chicken,26.510549151923286,17.141301567296377,43.50584537376886,703
301,Sugar,26.032292745090377,16.19188167438864,38.77809814135367,2758
111,"Macaroni, spaghetti",25.010000630268813,17.73873365649201,40.57121686225547,406
1105,"Prepared tea, coffee",24.06991858099726,4.0151504113986585,42.19770124619707,14
11011,Buns,23.7735717931163,13.366609705589763,42.86969415576341,1170
801,Goat meat,23.75115545379216,16.050687330423337,45.286209548586896,346
6022,Chiness/spinach,23.740047796961075,12.915632441666984,44.62541218876559,995
6023,Other green vegetable,23.63326784626336,12.917499969797872,46.65856561868717,2576
110,"Buns, cakes and biscuits",23.495066049372532,14.02129302836089,46.34227771267547,98
702,"Citrus fruits (oranges, lemon, tangerines, etc.)",23.410883104025686,10.150128230981835,50.884820038842264,102
8084,Other fresh fish and seafood,23.305328252179613,11.550073926821113,43.668949917936565,782
303,"Honey, syrups, jams, marmalade, jellies, canned fruits",23.04154588342996,10.295446369459059,59.21011826493759,340
603,"Canned, dried and wild vegetables",22.931521396263072,10.927670015010047,46.507074207834314,37
603,"Canned, dried, and wild vegetables",21.9510273877467,9.486810622620611,54.2755085089146,323
4011,Peas,20.314939094008817,11.741448904948317,35.482815397429476,523
503,"Cashew, almonds and other nuts",19.927326888642224,11.234283114120196,46.1526060613599,78
8083,Tilapia (fresh),19.42089957838358,10.496766004534983,36.02243349466075,131
501,Groundnuts in shell/shelled,19.207315958211467,10.753290288753597,39.049611738979024,990
808,Fresh fish and seafood (including dagaa),17.5338388279757,6.536391176967774,36.936502765159176,177
8082,Kolekole (fresh),17.300279991285166,9.488646863329892,30.843907909437092,88
1001,Cooking oil,15.037300807093768,8.768112263993343,25.346675708867156,3412
6013,"Carrots and green pepper, other viungo",13.9789690956069,7.57235293656137,25.998053325374553,1496
809,Dried/salted/canned fish and seafood (incl. Dagaa),13.911457578961118,7.581324485309845,26.745869827520774,1350
8081,Dagaa (fresh),13.315103556327568,6.236339945735638,30.97969314777447,1743
6011,Onions,12.467514265511264,7.469092253342679,20.613831117575277,3517
805,Wild birds and insects,12.120990165055304,9.578446946405313,24.275929713025704,8
1002,"Butter, margarine, ghee and other fat products",10.728098279804353,7.032178432543337,17.519073323767685,183
807,Eggs,10.198587755682787,5.6013176832131,18.814679001277185,707
903,Canned milk/milk powder,9.840391766040977,5.572025139844392,19.26977446672722,35
1103,Other raw materials for drinks,8.896196019930418,8.896196019930418,8.896196019930418,3
7021,Lemon/lime,8.200237674358316,4.487777601834379,14.803955134390208,1403
1003,Salt,7.280721082845778,5.039658508844469,10.616892369501889,3734
504,Seeds and products from nuts/seeds (excl. Cooking oil),6.746303274877464,3.897548739832363,31.826664059632762,7
810,Packaged/canned fish,6.391990810142249,6.36206203676112,7.941501952932443,3
1004,Other spices,5.26182093502502,1.420110342917432,12.60985453179155,603
1102,Coffee and cocoa,4.85326172687975,1.6568012552996234,13.051076218132597,66
11021,Cakes and biscuits,3.7238652719131604,2.0034302054274837,7.830976693575147,207
302,Sweets,1.3700208257012565,0.5713312324555142,3.1792016158812793,261
1101,Tea dry,0.7839652638480964,0.47542352220011797,1.3019743663888783,2006
